merchant_id,category,country,pricing_plan,risk_tier
MER00453,SERVICES,IN,INTERCHANGE_PLUS,MEDIUM
MER00454,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00455,GROCERY,IN,FLAT_2_0,LOW
MER00456,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,HIGH
MER00457,GAMING,IN,FLAT_2_0,HIGH
MER00458,DIGITAL_GOODS,SG,FLAT_2_0,MEDIUM
MER00459,GROCERY,SG,TIERED,LOW
MER00460,TRAVEL,SG,INTERCHANGE_PLUS,LOW
MER00461,ELECTRONICS,IN,ENTERPRISE_NEGOTIATED,LOW
MER00462,SERVICES,SG,TIERED,LOW
MER00463,GROCERY,IN,TIERED,LOW
MER00464,TRAVEL,SG,ENTERPRISE_NEGOTIATED,LOW
MER00465,GAMING,SG,TIERED,MEDIUM
MER00466,SERVICES,IN,INTERCHANGE_PLUS,MEDIUM
MER00467,GAMING,AE,FLAT_2_0,MEDIUM
MER00468,GROCERY,AE,TIERED,LOW
MER00469,GAMING,AE,FLAT_2_0,HIGH
MER00470,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00471,DIGITAL_GOODS,AE,FLAT_2_0,LOW
MER00472,DIGITAL_GOODS,IN,TIERED,LOW
MER00473,GAMING,IN,FLAT_2_0,HIGH
MER00474,TRAVEL,IN,ENTERPRISE_NEGOTIATED,LOW
MER00475,GAMING,IN,FLAT_2_0,MEDIUM
MER00476,GAMING,IN,FLAT_2_0,HIGH
MER00477,GAMING,AE,FLAT_2_0,HIGH
MER00478,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00479,DIGITAL_GOODS,IN,FLAT_2_0,HIGH
MER00480,TRAVEL,AE,TIERED,LOW
MER00481,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00482,TRAVEL,AE,INTERCHANGE_PLUS,MEDIUM
MER00483,ELECTRONICS,AE,TIERED,MEDIUM
MER00484,SERVICES,IN,INTERCHANGE_PLUS,MEDIUM
MER00485,GAMING,IN,TIERED,HIGH
MER00486,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00487,DIGITAL_GOODS,AE,FLAT_2_0,MEDIUM
MER00488,DIGITAL_GOODS,IN,FLAT_2_0,LOW
MER00489,GAMING,IN,FLAT_2_0,HIGH
MER00490,GROCERY,SG,INTERCHANGE_PLUS,HIGH
MER00491,TRAVEL,SG,INTERCHANGE_PLUS,MEDIUM
MER00492,TRAVEL,SG,ENTERPRISE_NEGOTIATED,LOW
MER00493,SERVICES,IN,TIERED,LOW
MER00494,DIGITAL_GOODS,SG,FLAT_2_0,LOW
MER00495,GAMING,SG,TIERED,MEDIUM
MER00496,GAMING,IN,FLAT_2_0,HIGH
MER00497,SERVICES,SG,TIERED,MEDIUM
MER00498,DIGITAL_GOODS,IN,FLAT_2_0,MEDIUM
MER00499,GAMING,IN,TIERED,MEDIUM
MER00500,DIGITAL_GOODS,IN,FLAT_2_0,LOW
