transaction_id,settlement_amount,settlement_currency,fee_amount,settlement_status,settlement_date
TXN00071345,71.85,USD,0.4864,SETTLED,2025-05-03
TXN00040565,264.5,USD,1.3502,SETTLED,2025-03-16
TXN00187954,115.42,USD,0.7558,SETTLED,2025-10-11
TXN00060486,20.87,USD,0.246,SETTLED,2025-04-17
TXN00114359,103.58,USD,0.6807,SETTLED,2025-07-07
TXN00247806,91.47,USD,0.6112,SETTLED,2025-12-19
TXN00073704,31.39,USD,0.241,SETTLED,2025-05-08
TXN00008325,405.82,USD,2.5016,SETTLED,2025-01-19
TXN00121778,185.0,USD,1.1764,SETTLED,2025-07-18
TXN00130150,16.69,USD,0.1523,SETTLED,2025-07-28
TXN00210387,76.44,USD,0.5025,SETTLED,2025-11-09
TXN00228216,69.74,USD,0.4722,SETTLED,2025-11-27
TXN00202575,151.08,USD,0.9742,SETTLED,2025-10-30
TXN00152174,85.2,USD,0.5411,SETTLED,2025-08-28
TXN00038908,20.06,USD,0.4085,SETTLED,2025-03-11
TXN00019700,33.34,USD,0.252,SETTLED,2025-02-08
TXN00001131,42.14,USD,0.3046,SETTLED,2025-01-05
TXN00164613,43.97,USD,0.319,SETTLED,2025-09-14
TXN00074625,280.9,USD,1.1458,SETTLED,2025-05-09
TXN00078984,381.99,USD,1.4312,SETTLED,2025-05-16
TXN00007653,302.97,USD,1.5212,SETTLED,2025-01-17
TXN00019188,59.39,USD,0.4095,IN_TRANSIT,2025-02-07
TXN00228307,47.2,USD,0.6628,SETTLED,2025-11-28
TXN00223478,11.87,USD,0.2071,SETTLED,2025-11-23
TXN00138670,16.72,USD,0.1527,SETTLED,2025-08-11
TXN00009024,1440.16,USD,6.6652,SETTLED,2025-01-20
TXN00128176,58.89,USD,0.6927,SETTLED,2025-07-26
TXN00178683,35.89,USD,0.27,SETTLED,2025-10-01
TXN00105107,554.59,USD,3.4224,SETTLED,2025-06-23
TXN00039388,757.24,USD,3.584,SETTLED,2025-03-14
TXN00161713,434.89,USD,1.7606,SETTLED,2025-09-09
TXN00182031,23.29,USD,0.5935,SETTLED,2025-10-05
TXN00161180,41.15,USD,0.6435,SETTLED,2025-09-08
TXN00145505,94.68,USD,0.6277,SETTLED,2025-08-18
TXN00192159,39.48,USD,0.292,SETTLED,2025-10-18
TXN00037525,228.8,USD,0.9962,SETTLED,2025-03-09
TXN00107902,10.86,USD,0.3842,SETTLED,2025-06-27
TXN00172374,392.93,USD,1.6423,SETTLED,2025-09-21
TXN00141599,20.66,USD,0.5848,SETTLED,2025-08-13
TXN00112801,220.16,USD,1.1545,SETTLED,2025-07-06
TXN00070056,113.11,USD,0.6719,SETTLED,2025-05-03
TXN00038693,476.69,USD,1.6943,SETTLED,2025-03-11
TXN00212958,72.09,USD,0.4917,SETTLED,2025-11-10
TXN00223128,176.0,USD,1.1276,SETTLED,2025-11-22
TXN00072511,62.96,USD,0.4326,SETTLED,2025-05-05
TXN00073514,124.85,USD,0.8082,SETTLED,2025-05-07
TXN00022654,29.27,USD,0.2274,SETTLED,2025-02-14
TXN00132549,235.15,USD,1.1919,SETTLED,2025-08-01
TXN00117606,34.23,USD,0.3078,SETTLED,2025-07-11
TXN00215450,8.63,USD,0.5527,SETTLED,2025-11-14
TXN00102927,233.4,USD,1.4694,SETTLED,2025-06-19
TXN00054050,84.48,USD,0.5624,SETTLED,2025-04-06
TXN00060749,39.02,USD,0.4625,SETTLED,2025-04-16
TXN00225964,453.59,USD,2.2306,SETTLED,2025-11-26
TXN00107517,38.01,USD,0.461,SETTLED,2025-06-27
TXN00114623,390.84,USD,1.9319,SETTLED,2025-07-06
TXN00229151,64.3,USD,0.4473,SETTLED,2025-11-30
TXN00172354,35.64,USD,0.2683,SETTLED,2025-09-21
TXN00132411,665.81,USD,4.1047,SETTLED,2025-07-31
TXN00199637,11.25,USD,0.1196,SETTLED,2025-10-25
TXN00110338,147.62,USD,0.824,SETTLED,2025-06-30
TXN00073277,24.75,USD,0.2008,SETTLED,2025-05-06
TXN00080072,91.02,USD,0.6031,SETTLED,2025-05-17
TXN00009769,146.0,USD,0.9322,SETTLED,2025-01-21
TXN00188744,124.92,USD,0.7236,SETTLED,2025-10-12
